video_id,title,description,comment,published_at,author_display_name,comment_like_count,comment_count,video_dislike_count,video_favourite_count,video_like_count,video_view_count,channel_subscriber_count
nB8mXZaVItk,University sending Students back to Home | North East Region | Stay Safe | Graphic Era University,"Students from (NER) North-East Region shared their views when assisted by the University on arranging conveyance via air route to their home.

#GraphicEraUniversity #NER_Students

For more details :
https://linktr.ee/graphicera",,2021-04-26T10:38:34Z,,,0,4,0,56,1053,9800
RAUMUTXXLHM,University sending Students back to Home | Stay Safe | Graphic Era University | Dehradun,"Day 3 of Students sending back to their homes. Graphic Era University ensuring the safe reach of its students to their respective places via Air route or Roadways providing Flight tickets and Busses. Amidst this pandemic, the safety of students is at utmost priority and cannot be compromised.

#GraphicEraUniversity

For more details :
https://linktr.ee/graphicera",comments disabled,2021-04-22T10:28:25Z,,,,,,,,9800
ZvVrGBzioPc,Graphic Era in News | Sending Students back to Home | Dehradun | Uttarakhand |Graphic Era University,"The initiative taken by the University (Graphic Era University) to send its students back home was appreciated and published by many news channels as well as Newspapers and Social Media Handles. A detailed report is shared with you all.

#GraphicEraUniversity #NewsReports #Dehradun

For more details :
https://linktr.ee/graphicera",comments disabled,2021-04-22T04:30:22Z,,,,,,,,9800
WPfcoeIXrnA,Webinar | Indo- china  relations in the era of Biden | Shri  Shivshankar Menon | Graphic Era,"Department of Humanities & Social Sciences,  Graphic Era Deemed to be University, Dehradun invites you for a webinar on  'Indo- China relations in the era of Biden'  by  Shri Shivshankar Menon, Former National Security Advisor,  Former Indian Foreign Secretary,  High Commissioner to Pakistan and Sri Lanka,  Ambassador to China And Israel,  Member of Atomic Energy Commission of India on 20th April 2021 // 04:30 PM   

The Webinar promises to be an extremely informative and productive one - hence, Graphic Era University is opening it to students of all Universities across the country.  

Register Now! https://bit.ly/3tvakm4 

Streaming Live on Youtube/Facebook Channel",comments disabled,2021-04-19T04:41:45Z,,,,,,,,9800
vQ8Ee-b5gxk,Sending Students Back to Home | GEHU Bhimtal | Graphic Era Hill University | Graphic Era University,"Another campus of Graphic Era Hill University also arranged conveyance for its students to reach home safely.

#GraphicEraHillUniversity #Bhimtal #GraphicEraUniversity

For more details :
https://linktr.ee/graphicera",comments disabled,2021-04-20T10:07:27Z,,,,,,,,9800
cwQNioF77oA,President's Message � Covid Situation | Stay Safe | Prof. Kamal Ghanshala | Graphic Era University,"The pandemic can be seen and analyzed by all of us. In this tough situation we all need is support from our near and dear ones but being away from each other. Prof. Kamal Ghanshala, President, Graphic Era group of Institutions shared his views on the current situation.

#GraphicEraUniversity

For more details :
https://linktr.ee/graphicera",comments disabled,2021-04-19T14:41:53Z,,,,,,,,9800
QVwlkRNd8tY,University sending Students back to Home | Adios Students | Stay Safe | Graphic Era University,"Graphic Era University took a great initiative to send its students who were living in University's hostel to their homes. As the condition of our country, as well as the world, is getting worsen day by day due to Covid-19. Considering the same, University's management arranged Flight tickets to Hyderabad & Lucknow, Busses to Delhi, Meerut, Haldwani, and many other places for the students.

#GraphicEraUniversity

For more details :
https://linktr.ee/graphicera",Nice initiative taken by university...thanks a lot,2021-04-19T13:19:25Z,Rekha Chopra,3,3,19,0,284,3487,9800
GsM7i2Dy_rA,Chairman Sir Address | Prof. Kamal Ghanshala  | Graphic Era University,"Thank you for your birthday wishes - A video message for all by Hon�ble Chairman, Graphic Era Group of Institutions, Prof. Kamal Ghanshala - Also holds some important announcement.

#GraphicEraUniversity #BirthdayWishes #ThankYou

For more details :
https://linktr.ee/graphicera",comments disabled,2021-04-16T07:23:38Z,,,,,,,,9800
nB8mXZaVItk,University sending Students back to Home | North East Region | Stay Safe | Graphic Era University,"Students from (NER) North-East Region shared their views when assisted by the University on arranging conveyance via air route to their home.

#GraphicEraUniversity #NER_Students

For more details :
https://linktr.ee/graphicera",,2021-04-26T10:38:34Z,,,0,4,0,56,1053,9800
RAUMUTXXLHM,University sending Students back to Home | Stay Safe | Graphic Era University | Dehradun,"Day 3 of Students sending back to their homes. Graphic Era University ensuring the safe reach of its students to their respective places via Air route or Roadways providing Flight tickets and Busses. Amidst this pandemic, the safety of students is at utmost priority and cannot be compromised.

#GraphicEraUniversity

For more details :
https://linktr.ee/graphicera",comments disabled,2021-04-22T10:28:25Z,,,,,,,,9800
